Symbol ,Series ,LTP ,%chng ,New 52W/L price ,Prev.Low ,Prev. Low Date 
ACCORD,SM,19.4,-4.67,19.4,20.35,12-Mar-2025
AGSTRA,BE,11.87,4.95,10.74,11.31,18-Mar-2025
AKI,BE,7.29,-0.68,6.98,7.34,18-Mar-2025
ASHALOG,SM,66.6,2.62,63.6,64,18-Mar-2025
AUSL,ST,29.4,5,27.5,27.5,03-Mar-2025
AUSOMENT,EQ,74.52,-2.18,73.6,73.81,17-Mar-2025
CASHIETF,EQ,1001.49,0.03,1001.47,0,-
CEREBRAINT,BZ,4.72,-3.08,4.65,4.87,18-Mar-2025
COMPINFO,BZ,1.74,-2.79,1.72,1.77,18-Mar-2025
CRAYONS,ST,47.95,-4.96,47.95,49.25,18-Mar-2025
CUPID,EQ,63.2,0.48,62.3,62.48,17-Mar-2025
DELAPLEX,SM,141.5,0.21,138.05,140,18-Mar-2025
DHRUV,BE,73.25,-5.01,73.25,77.11,18-Mar-2025
DIVYADHAN,ST,37.15,1.36,36.65,36.65,18-Mar-2025
DURLAX,SM,36.45,3.55,33.1,34.1,18-Mar-2025
EQUIPPP,BE,20.4,-0.97,20,20.16,18-Mar-2025
EXXARO,EQ,6.34,0,6.24,6.3,18-Mar-2025
FELDVR,BE,4.05,4.38,3.7,3.8,18-Mar-2025
GENSOL,BE,224.9,-4.99,224.9,236.7,18-Mar-2025
GINNIFILA,EQ,20.63,3.05,19.1,19.55,18-Mar-2025
GLFL,BE,4.18,-5.22,4.18,4.41,18-Mar-2025
GSTL,ST,15.25,4.81,13.85,14.45,18-Mar-2025
GVKPIL,BE,3.62,1.97,3.47,3.55,18-Mar-2025
HPTL,SM,110.5,2.31,108,108,18-Mar-2025
IMPEXFERRO,BZ,2.12,-3.64,2.09,2.09,18-Mar-2025
INDIFRA,ST,13,-1.89,13,13.05,18-Mar-2025
INDOUS,BE,157,3.64,150,150,18-Mar-2025
INNOMET,SM,110.85,-1.12,104,109.3,18-Mar-2025
ISHAN,SM,1.15,0,1.1,1.15,18-Mar-2025
JIWANRAM,ST,7,-4.76,7,7.35,18-Mar-2025
JPASSOCIAT,BE,3.66,4.87,3.32,3.49,18-Mar-2025
K2INFRA,ST,69.4,-1.07,66.7,70.15,18-Mar-2025
KCEIL,ST,186,5,168.3,171.4,19-Mar-2024
KESORAMIND,BE,7.11,-5.07,7.11,7.49,18-Mar-2025
KOTYARK,ST,402.75,4.99,364.45,383.6,18-Mar-2025
KSHITIJPOL,BE,3.11,1.97,2.89,2.97,18-Mar-2025
KTL,ST,6.65,-5,6.65,7,18-Mar-2025
LAGNAM,EQ,99.14,0.82,93.91,95.62,17-Mar-2025
MANDEEP,SM,20.35,-1.45,20.15,20.65,18-Mar-2025
MEDIORG,SM,22.8,-2.98,22.35,23.5,18-Mar-2025
MEP,BZ,1.54,-2.53,1.54,1.58,18-Mar-2025
MODTHREAD,EQ,37.81,-2.27,36.76,38.07,04-Mar-2025
MORARJEE,BZ,5.5,-3.68,5.5,5.65,13-Mar-2025
MPTODAY,SM,29,-2.36,28.35,28.5,27-Feb-2025
NAMAN,ST,72.45,1.76,70,70,18-Mar-2025
NAVKARURB,BE,13.45,-3.58,13.25,13.81,18-Mar-2025
NDLVENTURE,EQ,80.06,-0.04,77,77,18-Mar-2025
NIBE,EQ,806.55,5,761.5,764.5,18-Mar-2025
NMSTEEL,ST,29.2,-2.5,29.05,29.55,18-Mar-2025
PHOGLOBAL,ST,20.2,-2.88,20.1,20.2,18-Mar-2025
PRABHA,BE,210.94,-5,210.94,0,-
PREMIUM,SM,35,3.55,33.5,33.6,18-Mar-2025
QMSMEDI,SM,91,1.11,86,87.2,18-Mar-2025
QUICKTOUCH,ST,43,-3.8,42.6,43.55,18-Mar-2025
RAPPID,ST,243.4,4.55,221.4,224.75,18-Mar-2025
RBMINFRA,ST,276.15,5,249.85,263,18-Mar-2025
REFRACTORY,ST,63.05,5,57.05,60.05,18-Mar-2025
ROCKINGDCE,SM,312.5,-11.47,310.05,343.15,18-Mar-2025
ROLTA,BZ,2.25,2.27,2.09,2.2,18-Mar-2025
ROXHITECH,ST,49.35,4.89,44.7,47.05,18-Mar-2025
RULKA,ST,138.2,-1.29,136.2,139.05,18-Mar-2025
SADHNANIQ,BE,20,2.15,19.3,19.58,18-Mar-2025
SAHAJ,SM,7.85,-0.63,7.4,7.8,18-Mar-2025
SAIFL,ST,56,1.73,52.6,54,17-Mar-2025
SATIPOLY,ST,79.35,4.96,75.05,75.6,18-Mar-2025
SDREAMS,ST,90,2.39,86.35,87.9,18-Mar-2025
SECL,ST,9.3,-4.62,9.3,9.75,18-Mar-2025
TAKE,BZ,8,-1.23,7.72,7.9,18-Mar-2025
TECHERA,ST,125,-1.5,120.55,122.2,18-Mar-2025
TIJARIA,BE,6.66,1.06,6.3,6.5,18-Mar-2025
TREEHOUSE,EQ,11.6,0.69,11.21,11.25,18-Mar-2025
TRU,BE,8.01,-2.55,7.81,8.22,18-Mar-2025
UNIINFO,BE,17.15,-2.78,17,17.52,18-Mar-2025
UNILEX,SM,47.6,-5.27,44.4,47,18-Mar-2025
VIRINCHI,EQ,23.9,3.69,22.75,22.78,17-Mar-2025
VLEGOV,BE,34.27,4.99,31,32.64,18-Mar-2025
WINSOME,BZ,1.75,-2.23,1.75,1.79,18-Mar-2025
YUDIZ,SM,35.2,-4.99,35.2,37.05,18-Mar-2025
